brand,model,image_url
Nike,Air Force 1 Low,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-07-Product.jpg
Nike,Dunk Low,https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-2021-Product.jpg
Jordan,Air Jordan 1 High,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Chicago-Lost-and-Found-Product.jpg
Jordan,Air Jordan 4,https://images.stockx.com/images/Air-Jordan-4-Retro-White-Cement-2016-Product.jpg
Jordan,Air Jordan 11,https://images.stockx.com/images/Air-Jordan-11-Retro-Bred-2019-Product.jpg
Yeezy,Boost 350 V2,https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Beluga-Reflective-Product.jpg
Yeezy,Foam Runner,https://images.stockx.com/images/adidas-Yeezy-Foam-RNNR-Onyx-Product.jpg
New Balance,550,https://images.stockx.com/images/New-Balance-550-White-Green-Product.jpg
New Balance,2002R,https://images.stockx.com/images/New-Balance-2002R-Protection-Pack-Rain-Cloud-Product.jpg
Adidas,Samba,https://images.stockx.com/images/adidas-Samba-OG-Cloud-White-Core-Black-Product.jpg
ASICS,Gel-Kayano 14,https://images.stockx.com/images/ASICS-Gel-Kayano-14-White-Midnight-Product.jpg
